,CONTRICANTE,VICTORIA,EMPATE,DERROTA,GOLES_FAVOR,GOLES_CONTRA,FALTAS,AMARRILLAS,ROJAS,FUERA_LUGAR,ESQUINAS,SALVADAS,PENALES,H/V,POSECION%,YEAR,COMPETICION,JORNADA
0,real_madrid,FALSE,FALSE,TRUE,1,3,17,6,0,5,6,8,0,CASA,57,2019/2020,LIGA,1
2,valencia,TRUE,FALSE,FALSE,1,0,8,1,0,2,6,1,0,CASA,55,2019/2020,LIGA,2
3,sevilla,FALSE,TRUE,FALSE,1,1,9,2,0,0,1,4,0,VISITA,37,2019/2010,LIGA,3
4,granada,FALSE,FALSE,TRUE,0,2,11,4,2,1,3,1,0,CASA,38,2019/2020,LIGA,4
5,atletico_madrid,FALSE,TRUE,FALSE,0,0,12,5,0,2,3,6,0,VISITA,51,2019/2020,LIGA,5
6,espanyol,FALSE,TRUE,FALSE,1,1,5,2,0,0,6,3,0,CASA,63,2019/2020,LIGA,6
7,eibar,FALSE,FALSE,TRUE,0,2,17,3,0,2,6,2,0,VISITA,61,2019/2020,LIGA,7
8,athletic_bilbao,TRUE,FALSE,FALSE,1,0,8,0,0,0,6,2,0,CASA,62,2019/2020,LIGA,8
9,alaves,FALSE,FALSE,TRUE,0,2,5,1,0,2,6,3,0,VISITA,62,2019/2020,LIGA,9
10,real_sociedad,FALSE,FALSE,TRUE,0,1,20,3,1,2,3,3,0,CASA,42,2019/2020,LIGA,10
11,betis,FALSE,FALSE,TRUE,1,2,17,1,0,3,10,5,1,VISITA,62,2019/2020,LIGA,11
12,getafe,FALSE,FALSE,TRUE,0,1,6,3,0,2,4,3,0,CASA,62,2019/2020,LIGA,12
13,barcelona,FALSE,FALSE,TRUE,1,4,14,1,0,3,2,3,0,VISITA,39,2019/2020,LIGA,13
14,villarreal,TRUE,FALSE,FALSE,3,1,9,2,0,1,2,0,0,VISITA,40,2019/2020,LIGA,14
15,valladolid,FALSE,TRUE,FALSE,0,0,11,1,0,1,11,2,0,CASA,58,2019/2020,LIGA,15
16,leganes,FALSE,FALSE,TRUE,2,3,11,3,1,1,5,6,0,VISITA,67,2019/2020,LIGA,16
17,mallorca,FALSE,TRUE,FALSE,2,2,14,3,0,2,3,1,1,CASA,67,2019/2020,LIGA,17
18,levante,FALSE,FALSE,TRUE,1,3,15,6,0,1,7,4,0,VISITA,52,2019/2020,LIGA,18
19,osasuna,FALSE,TRUE,FALSE,1,1,14,3,0,5,6,0,0,CASA,61,2019/2020,LIGA,19
20,athletic_bilbao,FALSE,TRUE,FALSE,1,1,12,3,0,3,0,4,0,VISITA,39,2019/2020,LIGA,20
21,eibar,FALSE,TRUE,FALSE,0,0,9,0,0,3,6,3,0,CASA,66,2019/2020,LIGA,21
22,valencia,FALSE,FALSE,TRUE,0,1,20,3,0,1,7,4,0,VISITA,50,2019/2020,LIGA,22
23,sevilla,TRUE,FALSE,FALSE,2,1,16,3,0,0,3,3,0,CASA,45,2019/2020,LIGA,23
24,real_madrid,FALSE,TRUE,FALSE,2,2,10,2,0,1,3,2,0,VISITA,34,2019/2020,LIGA,24
25,leganes,TRUE,FALSE,FALSE,1,0,13,2,1,3,2,2,0,CASA,42,2019/2020,LIGA,25
26,granada,FALSE,TRUE,FALSE,0,0,11,5,0,4,1,0,0,VISITA,59,2019/2020,LIGA,26
27,getafe,FALSE,TRUE,FALSE,0,0,14,5,0,2,1,6,0,VISITA,44,2019/2020,LIGA,27
28,villarreal,FALSE,FALSE,TRUE,0,1,5,1,0,1,2,3,0,CASA,41,2019/2020,LIGA,28
29,valladolid,FALSE,TRUE,FALSE,0,0,15,3,0,1,8,1,0,VISITA,60,2019/2020,LIGA,29
30,alaves,TRUE,FALSE,FALSE,6,0,14,1,0,1,8,2,2,CASA,73,2019/2020,LIGA,30
31,real_sociedad,FALSE,TRUE,TRUE,1,0,15,2,0,2,3,6,1,VISITA,41,2019/2020,LIGA,31
32,barcelona,FALSE,TRUE,FALSE,2,2,19,3,0,2,3,0,0,CASA,32,2019/2020,LIGA,32
33,mallorca,FALSE,FALSE,TRUE,1,5,12,3,0,0,11,2,1,VISITA,60,2019/2020,LIGA,33
34,betis,FALSE,TRUE,FALSE,1,1,20,5,0,4,2,2,0,CASA,45,2019/2020,LIGA,34
35,atletico_madrid,FALSE,TRUE,FALSE,1,1,14,4,0,1,6,1,0,CASA,51,2019/2020,LIGA,35
36,osasuna,FALSE,FALSE,TRUE,1,2,11,2,0,1,4,3,0,VISITA,47,2019/2020,LIGA,36
37,levante,FALSE,FALSE,TRUE,2,3,11,1,1,3,8,1,0,CASA,57,2019/2020,LIGA,37
38,espanyol,FALSE,TRUE,FALSE,0,0,11,3,0,2,4,1,0,VISITA,50,2019/2020,LIGA,38
39,eibar,FALSE,TRUE,FALSE,0,0,13,4,0,5,3,1,0,VISITA,50,2020/2021,LIGA,1
40,valencia,TRUE,FALSE,FALSE,2,1,12,3,0,2,6,2,0,CASA,51,2020/2021,LIGA,2
41,valladolid,FALSE,TRUE,FALSE,1,1,17,4,0,2,1,3,0,VISITA,46,2020/2021,LIGA,3
42,barcelona,FALSE,FALSE,TRUE,0,3,22,5,0,1,3,2,0,CASA,44,2020/2021,LIGA,4
43,osasuna,FALSE,FALSE,TRUE,0,2,10,3,0,3,5,2,0,VISITA,61,2020/2021,LIGA,5
44,atletico_madrid,FALSE,FALSE,TRUE,0,2,16,3,0,1,8,2,0,CASA,52,2020/2021,LIGA,6
45,levante,FALSE,TRUE,FALSE,1,1,19,2,0,0,2,2,0,VISITA,41,2020/2021,LIGA,7
46,real_sociedad,FALSE,FALSE,TRUE,1,4,19,0,1,2,2,3,1,CASA,46,2020/2021,LIGA,8
47,elche,FALSE,TRUE,FALSE,1,1,12,5,0,3,3,0,0,VISITA,49,2020/2021,LIGA,9
48,sevilla,FALSE,FALSE,TRUE,2,4,20,2,0,1,2,6,0,VISITA,43,2020/2021,LIGA,10
49,granada,TRUE,FALSE,FALSE,3,1,14,5,1,2,8,1,0,CASA,68,2020/2021,LIGA,11
50,athletic_bilbao,TRUE,FALSE,FALSE,2,0,15,1,0,1,5,0,0,VISITA,50,2020/2021,LIGA,12
51,cadiz,TRUE,FALSE,FALSE,4,0,24,2,0,4,1,2,1,CASA,61,2020/2021,LIGA,13
52,alaves,TRUE,FALSE,FALSE,2,0,18,2,0,4,3,2,0,CASA,55,2020/2021,LIGA,14
53,getafe,FALSE,TRUE,FALSE,1,1,16,3,0,2,4,2,1,VISITA,62,2020/2021,LIGA,15
54,huesca,TRUE,FALSE,FALSE,2,1,19,2,0,0,0,5,0,CASA,57,2020/2021,LIGA,16
55,real_madrid,FALSE,FALSE,TRUE,0,2,14,4,0,1,1,0,0,VISITA,41,2020/2021,LIGA,17
56,villarreal,FALSE,FALSE,TRUE,0,4,15,1,0,0,3,2,0,CASA,57,2020/2021,LIGA,18
57,betis,FALSE,FALSE,TRUE,1,2,16,3,0,1,6,2,1,VISITA,58,2020/2021,LIGA,19
58,eibar,FALSE,TRUE,FALSE,1,1,10,4,0,2,0,1,0,CASA,56,2020/2021,LIGA,20
59,granada,FALSE,TRUE,FALSE,0,0,19,4,0,0,5,5,0,VISITA,65,2020/2021,LIGA,21
60,atletico_madrid,FALSE,TRUE,FALSE,2,2,17,2,0,0,4,0,0,VISITA,55,2020/2021,LIGA,22
61,elche,TRUE,FALSE,FALSE,3,1,11,3,0,1,3,1,0,CASA,50,2020/2021,LIGA,23
62,valencia,FALSE,FALSE,TRUE,0,2,19,3,0,0,1,1,0,VISITA,42,2020/2021,LIGA,24
63,valladolid,FALSE,TRUE,FALSE,1,1,20,3,0,3,3,2,0,CASA,66,2020/2021,LIGA,25
